SearchName,PreferredFoot
Arouna Kone~Arouna Koné,Right
Artur Moraes,Right
Michael Ciani~Michaël Ciani,Right
Robert Huth,Right
Jakob Ankersen,Right
Pierre Webo~Pierre Webó,Right
Agustin Orion~Agustín Orión,Right
Andriy Pyatov,Right
Gokhan Gonul~Gökhan Gönül,Right
Tito,Right
Andres Fernandez~Andrés Fernández,Right
Ivelin Popov,Right
Marko Devic~Marko Devic,Right
Yuriy Lodygin,Right
Zidrunas Karcemarskas,Right
Christian Maggio,Right
Jaroslav Drobny~Jaroslav Drobný,Right
Henri Bedimo,Left
Steven Davis,Right
Tomas Sivok~Tomáš Sivok,Right
Hernani~Hernâni,Right
Mohamed Sissoko,Right
Marko Lomic~Marko Lomic,Left
Leon Osman,Right
Abdoulay Konko,Right
Abou Diaby,Right
Archie Thompson,Right
Matt Jarvis,Right
Charles,Right
Steven Fletcher,Left
Valera,Right
Didier Digard,Right
Aaron Ramsey,Right
Kevin Kuranyi,Right
Steven Gerrard,Right
Andriy Dikan,Right
Federico Higuain~Federico Higuaín,Right
Jardel,Right
Fernandinho,Right
David Luiz,Right
Stephen Ireland,Right
Steven Defour,Right
Eljero Elia,Right
David Alaba,Left
Lasse Schøne,Right
Yohan Cabaye,Right
Niklas Moisander,Left
Wilfried Bony,Right
Przemyslaw Tyton~Przemyslaw Tyton,Right
Pawel Brozek~Pawel Brozek,Right
Ignacio Piatti,Right
Stefan Aigner,Right
Felipe Santana,Right
Fabian Lustenberger,Right
Jonathan De Guzman~Jonathan De Guzmán,Right
Weligton,Left
Monreal,Left
Martin Harnik,Right
Kamil Grosicki,Right
Bueno,Right
Papa Kouli Diop,Right
Antunes,Left
Moustapha Sall,Right
Xavi Torres,Right
Youssouf Mulumbu,Right
Mile Jedinak~Mile Jedinák,Right
Antonio Rukavina,Right
Francesco Totti,Right
Ricardo,Right
Carlos Sanchez~Carlos Sánchez,Left
Jack Rodwell,Right
Yohan Mollo,Right
Ibrahima Traore~Ibrahima Traoré,Left
Frank Lampard,Right
Sebastian Giovinco,Right
Jermain Defoe,Right
Adam Szalai~Ádám Szalai,Right
Roman Neustadter~Roman Neustädter,Right
Leroy Fer,Right
Selcuk Inan~Selçuk Inan,Right
Brown Ideye,Right
Alberto Paloschi,Right
Mauricio~Maurício,Right
Vladimir Gabulov,Right
Vyacheslav Malafeev,Right
Mauricio Isla,Right
Aatif Chahechouhe,Right
Matias Suarez~Matías Suárez,Right
Tomas Hubocan~Tomáš Hubocan,Right
Thomas Heurtaux,Right
Admir Mehmedi,Right
Miguel Angel Britos,Left
Bas Dost,Right
